"Wavelength, µm","n"
0.013402153,0.96642056
0.013451954,0.96615023
0.013502056,0.96587153
0.013552058,0.96560214
0.013602059,0.96533897
0.013652161,0.9650609
0.013701863,0.96479053
0.013751965,0.96451726
0.013802166,0.96423514
0.013851968,0.96395537
0.01390217,0.9636745
0.013951971,0.96339898
0.014001973,0.96312368
0.014052075,0.96284666
0.014101976,0.96255901
0.014151978,0.96227469
0.01420188,0.96199811
0.014251981,0.96172392
0.014302083,0.96143466
0.014351985,0.9611338
0.014402086,0.96084124
0.014451988,0.96054642
0.01450199,0.96025021
0.014552192,0.95995913
0.014602093,0.95967086
0.014652095,0.95937448
0.014702097,0.95907833
0.014751898,0.95879627
0.0148021,0.95851299
0.014852002,0.95822251
0.014902003,0.95792338
0.014952005,0.9576161
0.015001907,0.95731533
0.015051908,0.95699521
0.01510191,0.95666907
0.015152012,0.95636225
0.015202113,0.95607444
0.015252015,0.95577615
0.015302017,0.95546069
0.015352118,0.95515345
0.01540202,0.95484841
0.015452222,0.95454047
0.015501924,0.95422539
0.015552125,0.95387936
0.015602127,0.95355453
0.015652129,0.95327108
0.01570213,0.95296473
0.015751932,0.95264611
0.015802134,0.95233086
0.015852135,0.95200289
0.015902037,0.95167884
0.015952139,0.95135812
0.016001941,0.95103685
0.016051942,0.95069709
0.016102144,0.9503489
0.016152046,0.95006044
0.016202047,0.94975038
0.016251949,0.94938311
0.016302051,0.94904821
0.016352252,0.94873035
0.016402154,0.94840093
0.016452156,0.94808205
0.016502057,0.94777246
0.016552059,0.94745165
0.016602261,0.94706742
0.016652062,0.94674056
0.016701964,0.94641184
0.016752066,0.94601252
0.016802067,0.94568756
0.016852269,0.94540077
0.016901971,0.94507008
0.016951972,0.94471038
0.017002074,0.94436264
0.017052076,0.94396209
0.017102278,0.94361073
0.017152179,0.94327805
0.017202081,0.94293572
0.017252283,0.94267
0.017295984,0.94234548
0.017400088,0.94151107
0.017501991,0.94076331
0.017602995,0.93999668
0.017703198,0.93926383
0.017803701,0.93852085
0.017904305,0.93774926
0.018004208,0.93699671
0.018103811,0.93623041
0.018204215,0.93546051
0.018304018,0.93470283
0.018403922,0.93393413
0.018504525,0.93315488
0.018604128,0.93236975
0.018704232,0.93159153
0.018804135,0.93080499
0.018904038,0.93002334
0.019004142,0.92923205
0.019104245,0.92839575
0.019204149,0.92760154
0.019304252,0.92682833
0.019404155,0.92601225
0.019504659,0.92519355
0.019603862,0.92437843
0.019704165,0.92353155
0.019804269,0.92272124
0.019903472,0.92190671
0.020004076,0.92105383
0.020104379,0.9202197
0.020204482,0.9193848
0.020303986,0.9185423
0.020404089,0.91769722
0.020503892,0.91685285
0.020603796,0.91599484
0.020704099,0.9151367
0.020804303,0.91429281
0.020904106,0.91344031
0.021004209,0.91257645
0.021104113,0.9117095
0.021204016,0.91082504
0.02130412,0.90996235
0.021404223,0.90908854
0.021503926,0.90820423
0.02160403,0.90732204
0.021704833,0.90643247
0.021803936,0.90554305
0.02190414,0.90465796
0.022004243,0.90377002
0.022104047,0.90286489
0.02220415,0.90198148
0.022304053,0.90110302
0.022403956,0.90019759
0.02250406,0.89927751
0.022603963,0.89836031
0.022704067,0.89745559
0.02280347,0.89654481
0.022904273,0.8956272
0.023004377,0.8947265
0.02310378,0.8938132
0.023204184,0.89287542
0.023303987,0.89191806
0.02340409,0.89098704
0.023504294,0.89007659
0.023604297,0.88908724
0.023704001,0.88809568
0.023804304,0.88717289
0.023904508,0.88621339
0.024003611,0.88523302
0.024103714,0.88428942
0.024204518,0.88332771
0.024304021,0.88238832
0.024404324,0.88143153
0.024504428,0.88040809
0.024604531,0.87939047
0.024704435,0.8784823
0.024804038,0.87755798
0.024904641,0.87653104
0.025004245,0.87552193
0.025104648,0.8744906
0.025204751,0.87347938
0.025304355,0.87247657
0.025404258,0.87145979
0.025504362,0.87041375
0.025603965,0.86935639
0.025704568,0.86830467
0.025804271,0.86727693
0.025904375,0.86624641
0.026004478,0.86518881
0.026104581,0.86411312
0.026204185,0.86305534
0.026304089,0.86198574
0.026404392,0.86089322
0.026504095,0.85981213
0.026604398,0.85872403
0.026704302,0.85763221
0.026804605,0.8565301
0.026904308,0.85544029
0.027003912,0.85435529
0.027104015,0.85322994
0.027203919,0.85208173
0.027304322,0.8509409
0.027404625,0.84980609
0.027504529,0.84865142
0.027604132,0.84746412
0.027704736,0.84628405
0.027804139,0.84512431
0.027904242,0.84392493
